scenario,opt,I,price,location_EU,location_UK,certificate_NGO,certificate_UK,project_renewable,project_landfill,project_manure
1,A,0,10,0,0,1,0,0,1,0
1,B,0,15,1,0,0,1,0,0,1
1,C,1,0,0,0,0,0,0,0,0
2,A,0,15,0,0,1,0,0,0,0
2,B,0,10,0,1,0,0,0,1,0
2,C,1,0,0,0,0,0,0,0,0
3,A,0,10,0,0,0,0,0,0,0
3,B,0,15,0,1,1,0,0,0,1
3,C,1,0,0,0,0,0,0,0,0
4,A,0,20,0,1,0,1,1,0,0
4,B,0,10,1,0,0,0,0,0,1
4,C,1,0,0,0,0,0,0,0,0
5,A,0,10,0,0,1,0,1,0,0
5,B,0,20,0,1,0,0,0,0,0
5,C,1,0,0,0,0,0,0,0,0
6,A,0,15,0,0,0,0,1,0,0
6,B,0,20,1,0,1,0,0,0,0
6,C,1,0,0,0,0,0,0,0,0
7,A,0,15,1,0,0,0,0,1,0
7,B,0,20,0,0,0,1,0,0,1
7,C,1,0,0,0,0,0,0,0,0
8,A,0,10,1,0,0,1,0,0,0
8,B,0,20,0,0,0,0,0,0,1
8,C,1,0,0,0,0,0,0,0,0
9,A,0,20,0,0,0,1,0,1,0
9,B,0,10,0,1,0,0,1,0,0
9,C,1,0,0,0,0,0,0,0,0
10,A,0,15,0,1,0,1,0,0,0
10,B,0,20,1,0,0,0,1,0,0
10,C,1,0,0,0,0,0,0,0,0
